NOK_per_kWh,time_start,consumption,consumption_cost,consumption_with_battery,consumption_cost_with_battery
1.22746,2022-01-03T02:00:00+01:00,4.060522728,4.98412922771088,4.48753464,5.5082692692143995
1.21566,2022-01-03T03:00:00+01:00,4.159559808,5.0566104761932795,4.48753464,5.455316360462399
1.22226,2022-01-03T04:00:00+01:00,4.25859696,5.2051127203296,4.48753464,5.4849340890864
1.23586,2022-01-03T05:00:00+01:00,1.980742752,2.44792073748672,4.48753464,5.5459645601903995
1.20696,2022-01-03T06:00:00+01:00,1.683631368,2.03207571592128,0.0,0.0
1.2101600000000001,2022-01-03T07:00:00+01:00,1.7826685199999999,2.1573141361632002,0.0,0.0
1.26616,2022-01-03T08:00:00+01:00,2.37689136,3.0095247643776,0.0,0.0
1.32577,2022-01-03T09:00:00+01:00,4.951856952,6.56502339125304,0.0,0.0
1.22986,2022-01-03T10:00:00+01:00,4.159559808,5.1156762254668795,0.698060952,0.8585172424267199
1.23146,2022-01-03T11:00:00+01:00,2.674002744,3.29292741912624,4.48753464,5.526219407774399
1.23986,2022-01-03T12:00:00+01:00,1.7826685199999999,2.2102593912071997,4.48753464,5.563914698750399
1.26686,2022-01-03T13:00:00+01:00,2.277854208,2.8857223819468802,4.48753464,5.6850781340304
1.3376700000000001,2022-01-03T14:00:00+01:00,2.277854208,3.04701723841536,4.48753464,6.0028404618888
1.37738,2022-01-03T15:00:00+01:00,2.47592844,3.4102943146872002,4.48753464,6.1810404624432
1.37498,2022-01-03T16:00:00+01:00,1.4855570640000002,2.0426112518587205,2.991689784,4.11351361920432
1.43749,2022-01-03T17:00:00+01:00,2.7730398960000002,3.98621712010104,2.991689784,4.30052414760216
1.4514900000000002,2022-01-03T18:00:00+01:00,4.951856952,7.187570847258481,1.994459832,2.8949385015496802
1.42829,2022-01-03T19:00:00+01:00,2.37689136,3.3948901605744,0.9972299520000001,1.4243335681420801
1.42238,2022-01-03T20:00:00+01:00,2.47592844,3.5217110944872,0.9972299520000001,1.41843993912576
1.39618,2022-01-03T21:00:00+01:00,2.674002744,3.73338915111792,3.988919664,5.56924985648352
1.30807,2022-01-03T22:00:00+01:00,2.47592844,3.2386877145108004,3.988919664,5.21778614488848
1.13655,2022-01-03T23:00:00+01:00,2.9711142,3.37681984401,4.48753464,5.100307495091999
1.31892,2022-01-04T00:00:00+01:00,4.951856952,6.53110317113184,4.48753464,5.9186991873888
1.3205200000000001,2022-01-04T01:00:00+01:00,3.961485576,5.231220932819521,4.48753464,5.9258792428128
1.2873700000000001,2022-01-04T02:00:00+01:00,4.060522728,5.22739514434536,4.48753464,5.7771174694968
1.15649,2022-01-04T03:00:00+01:00,4.159559808,4.81048932235392,4.48753464,5.1897889358136
1.13536,2022-01-04T04:00:00+01:00,4.25859696,4.8350406445056,4.48753464,5.0949673288704
1.33244,2022-01-04T05:00:00+01:00,1.980742752,2.6392208724748802,4.48753464,5.9793706557216
1.43638,2022-01-04T06:00:00+01:00,1.683631368,2.4183344243678397,0.0,0.0
1.55144,2022-01-04T07:00:00+01:00,1.7826685199999999,2.7657032486687996,0.0,0.0
